Compound	SHI-1 parental	SHI-1 320 Ara-C	SHI-1 1280 Ara-C	Annotation
Idarubicin	22.81192226	19.59780763	23.45490172	
Vatalanib	0	0	0	
Dexamethasone	8.84683462	13.635289	19.30121493	Glucocorticoids
Auranofin	4.31007684	3.15000494	4.67650998	
Tretinoin	8.86164816	1.33850772	4.24709854	
Plicamycin	9.53958623	20.725405	24.03195555	
Vincristine	27.96543493	25.37715336	34.7638537	
Vinblastine	28.27428937	26.1082993	30.99846918	
Methylprednisolone	1.99365813	9.26989838	15.92275627	Glucocorticoids
Mitoxantrone	8.22332722	14.93583014	20.67527687	
Paclitaxel	30.27491887	22.32890412	26.91501631	Anit-Mitotic
Prednisolone	1.93586812	8.05854972	13.17553078	Glucocorticoids
Prednisone	0	0	0	Glucocorticoids
Topotecan	19.11495655	19.1453653	26.00452811	Proteasome Inhibitor
Mercaptopurine	2.02859801	6.36965928	4.50987416	
Thioguanine	9.59778037	7.8799024	7.45387058	
AT 101	19.80102253	15.30380737	16.06505858	
BI 2536	25.16927603	16.9984218	20.16960657	
Palbociclib	15.63924559	12.11974987	14.92232743	
Danusertib	14.0639091	9.72790326	17.56390006	
Foretinib	5.26421918	0.88862509	1.90751295	
Tanespimycin	16.6738738	10.82606976	10.9247969	Proteasome Inhibitor
Alvespimycin	11.97793756	6.73097574	9.16543486	
SNS-032	27.42155996	14.60875824	19.1455815	
ABT-751	20.1998037	16.00870318	17.00226749	
BIIB021	23.83034413	19.82595875	20.82889915	
Decitabine	5.97938027	2.64096241	0	Nucleoside Analogues
Alvocidib	21.21073042	17.66542323	20.52260652	
Amonafide	6.99859075	2.99689376	6.65075976	
Tipifarnib	11.35882926	10.87286974	18.83936238	
Pimasertib	30.5978706	20.66225195	22.5872059	
Ponatinib	7.95550488	1.58741132	3.63053396	
Cediranib	0	1.69220836	0.15670189	
PF-04691502	21.43010374	19.38589092	20.7013221	
Tivozanib	6.31102455	1.74146821	1.60840473	
MK1775	20.9379349	13.87143226	15.9405997	
PF-00477736	17.22566082	9.19828933	11.63867677	Kinase Inhibitor
Doramapimod	9.3275762	2.90025378	0	
Bryostatin 1	28.16478253	23.87404535	26.20157671	
BMS-754807	21.98948416	19.12244459	20.49487282	
Trametinib	23.54332658	18.368201	18.99794904	
OSI-027	4.76568906	8.81187925	8.26037429	
MK-2206	5.62955019	3.62021036	2.71065209	
Alisertib	15.13794291	7.65682344	18.83025118	Kinase Inhibitor
Nelarabine	3.73210797	0.38301857	0	Nucleoside Analogues
Panobinostat	22.54341241	18.26306518	19.95306886	
Temsirolimus	23.93537814	13.32584908	14.75828595	
Vorinostat	4.74975359	6.25173048	6.46471509	
Patupilone	23.0827631	26.66734278	25.59282843	Anit-Mitotic
Docetaxel	32.0605059	25.19883621	27.68087802	Anit-Mitotic
Pentostatin	0	2.8957124	2.63507183	
Sirolimus	17.99907563	12.72102492	15.99749541	
Floxuridine	30.64889453	22.50796596	28.32360241	Anti-Metabolite
Gemcitabine	23.90397274	16.85735717	0	Nucleoside Analogues
Teniposide	27.28294434	24.52745733	24.88525042	
Dactinomycin	30.93452315	24.86270126	29.44794739	
Mitomycin C	6.24537481	4.49765987	4.72415998	
Daunorubicin	13.35564662	15.00782441	17.00439269	Anti-Metabolite
Cytarabine	15.18092652	10.1378876	0	Nucleoside Analogues
Etoposide	13.16318787	15.75312866	15.1883175	
Doxorubicin	14.58538599	11.06394525	12.00210925	
Valrubicin	15.91282183	12.25121962	13.79706058	
Sunitinib	2.58113909	1.54119213	2.65664658	
Ixabepilone	3.61983511	3.7675682	4.7183777	Anit-Mitotic
Fludarabine	2.20505071	0	0	Nucleoside Analogues
Dactolisib	10.50796515	8.60486067	9.78148136	
Carfilzomib	29.55879699	24.07827447	28.40654669	Proteasome Inhibitor
Gandotinib	16.43635002	4.93930692	6.48337929	
AZ 3146	6.85673597	3.98545639	7.85418995	
Tosedostat	13.38188124	7.99143005	10.74561756	
KX2-391	28.14769775	26.45675318	29.83326967	Kinase Inhibitor
TAK-733	18.25681078	16.40720328	20.99602244	
PIK-75	27.887238	29.78386548	30.49673072	Kinase Inhibitor
VX-11E	5.10391713	2.252371	7.09380235	
PFI-1	8.8243872	8.15598869	8.33759908	
