Compound	SH_1:Parental	SH_1:320X	SH_1:1280X	Annotation
Idarubicin	12.088	17.753	10.017	
Vatalanib	451.75	1.2446	59.351	
Dexamethasone	98.983	42.537	26.376	Glucocorticoids
Auranofin	1023.4	1319.7	486.51	
Tretinoin	1045.1	4741.6	508.69	
Plicamycin	1473.6	113.17	92.2	
Vincristine	3.7353	4.0114	1.0921	
Vinblastine	4.0701	4.8629	2.3803	
Melphalan	486.63	246.31	12500	
Methylprednisolone	994.77	94.022	66.829	Glucocorticoids
Mitoxantrone	156.76	43.476	15.474	
Paclitaxel	3.1975	10.33	5.5315	Anit-Mitotic
Prednisolone	2048.2	217.57	93.479	Glucocorticoids
Prednisone	704.03	10000	10000	Glucocorticoids
Mepacrine	50000	1508.9	1559	
Topotecan	242.51	239.09	62.456	Proteasome Inhibitor
Mercaptopurine	6809.5	1857.1	4386.5	
Thioguanine	1128	1193.3	1475.5	
AT 101	1787.8	4629.4	4488.8	
BI 2536	7.221	26.861	15.578	
Palbociclib	194.82	359.87	224.52	
Danusertib	429.74	355.32	62.355	
Foretinib	193.14	999.76	544.87	
Tanespimycin	330.86	954.55	1086.5	Proteasome Inhibitor
Alvespimycin	88.484	221.4	153.17	
SNS-032	52.367	487.07	224	
ABT-751	177.99	349.85	338.02	
BIIB021	91.39	162.43	170.46	
Decitabine	4587.7	1900.7	10000	Nucleoside Analogues
Alvocidib	171.62	247.94	186.03	
Amonafide	2407.1	5149.5	2247.4	
Tipifarnib	952.98	924.93	116.38	
Pimasertib	5.3087	40.225	34.443	
Ponatinib	152.04	778.91	368.51	
Cediranib	1000	221.97	7.4783	
PF-04691502	118.65	182.24	144.58	
Tivozanib	4969.1	6788.7	9716	
MK1775	182.54	548.39	433.87	
PF-00477736	302.71	1404.5	801.95	Kinase Inhibitor
Doramapimod	3.0756	861.39	184.51	
Bryostatin 1	0.3212	0.6427	0.5139	
BMS-754807	53.553	111.23	86.418	
Trametinib	0.8728	2.4809	2.4656	
OSI-027	3969.8	1248.4	1327.6	
MK-2206	80.983	141.51	155.34	
Alisertib	13.39	523.47	26.631	Kinase Inhibitor
Nelarabine	1	8606.3	28.841	Nucleoside Analogues
Panobinostat	13.298	26.94	18.718	
Temsirolimus	0.9365	2.4596	2.4042	
Vorinostat	3742.3	2562.5	2673.5	
Patupilone	10.921	5.0339	6.9047	Anit-Mitotic
Docetaxel	1.9918	5.2235	3.9313	Anit-Mitotic
Pentostatin	10000	1709	1402.7	
Sirolimus	3.5017	3.131	2.0194	
Floxuridine	9.2552	59.485	21.76	Anti-Metabolite
Gemcitabine	10.591	27.695	1000	Nucleoside Analogues
Teniposide	52.747	92.912	85.507	
Dactinomycin	2.1627	5.4709	2.8693	
Mitomycin C	2788.4	3938.9	3761.7	
Pemetrexed	42.406	85.35	67.789	
Daunorubicin	71.236	46.783	32.61	Anti-Metabolite
Cytarabine	387.14	1306.5	27.134	Nucleoside Analogues
Etoposide	701.09	379.17	450.53	
Doxorubicin	48.698	112.97	93.933	
Valrubicin	216.1	414.85	313.6	
Sunitinib	133.71	283.21	98.024	
Ixabepilone	473.55	458.74	376.61	Anit-Mitotic
Fludarabine	6595.4	10000	100.73	Nucleoside Analogues
Bortezomib	4.6444	3.4549	3.422	Proteasome Inhibitor
Dactolisib	65.038	61.108	58.374	
Carfilzomib	3.2397	6.7712	3.8511	Proteasome Inhibitor
Gandotinib	7.2108	477.53	302.62	
AZ 3146	2362	4380.3	1578.7	
Tosedostat	694.06	1385.2	1267	
MEK-162	18.955	33.177	37.164	
KX2-391	35.503	44.759	33.112	Kinase Inhibitor
TAK-733	6.4757	8.1251	7.904	
PIK-75	50.848	22.235	26.493	Kinase Inhibitor
VX-11E	574.17	25.502	27.966	
PFI-1	1448.8	1585.6	1493.5	
